,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,2190.0,0.92694,0.007762600000000001,0.06529700000000001,214.67,1.4063,-0.94019,0.53394
10,2190.0,0.92694,0.007762600000000001,0.06529700000000001,214.67,1.4063,-0.94019,0.53394
15,2190.0,0.92694,0.007762600000000001,0.06529700000000001,214.67,1.4063,-0.94019,0.53394
20,2020.0,0.9965299999999999,0.0,0.0034652999999999997,-0.46184,2.8025,-7.6837,5.8812
25,2020.0,0.9965299999999999,0.0,0.0034652999999999997,-0.46184,2.8025,-7.6837,5.8812
30,2020.0,0.9965299999999999,0.0,0.0034652999999999997,-0.46184,2.8025,-7.6837,5.8812
35,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
40,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
45,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
50,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
55,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
60,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
65,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
70,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
75,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
80,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
85,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
90,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
95,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
100,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
105,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
110,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
115,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
120,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
125,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
130,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
135,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
140,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
145,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
150,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
155,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
160,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
165,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
170,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
175,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
180,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
185,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
190,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
195,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
200,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
205,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
210,347.0,0.097983,0.097983,0.80403,429.8,1.4031,-0.9251299999999999,0.522
215,347.0,0.097983,0.097983,0.80403,429.8,1.4031,-0.9251299999999999,0.522
220,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
225,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
230,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
235,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
240,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
245,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
250,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
255,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
260,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
265,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
270,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
275,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
280,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
285,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
290,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
295,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
300,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
305,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
310,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
315,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
320,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
325,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
330,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
335,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
340,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
345,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
350,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
355,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
360,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
365,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
370,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
375,347.0,0.097983,0.097983,0.80403,429.8,1.4031,-0.9251299999999999,0.522
380,347.0,0.097983,0.097983,0.80403,429.8,1.4031,-0.9251299999999999,0.522
385,347.0,0.097983,0.097983,0.80403,429.8,1.4031,-0.9251299999999999,0.522
390,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
395,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
400,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
405,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
410,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
415,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
420,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
425,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
430,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
435,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
440,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
445,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
450,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
455,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
460,47.0,0.36596,0.58723,0.046808999999999996,-0.46184,2.8025,-7.6837,5.8812
465,2191.0,0.9831700000000001,0.015663999999999997,0.0011639,-3.6511,0.57319,-1.2214,1.6482
470,14.0,-0.005,0.48,0.525,-3.6511,0.57319,-1.2214,1.6482
475,14.0,-0.005,0.48,0.525,-3.6511,0.57319,-1.2214,1.6482
480,29.0,-0.0075861999999999995,0.72828,0.27931,-10.485,0.15442999999999998,-0.0075423,0.85311
485,29.0,-0.0075861999999999995,0.72828,0.27931,-10.485,0.15442999999999998,-0.0075423,0.85311
490,29.0,-0.0075861999999999995,0.72828,0.27931,-10.485,0.15442999999999998,-0.0075423,0.85311
495,199.0,0.08432200000000001,0.19155999999999998,0.72412,204.65,1.3395,-0.86615,0.52667
500,199.0,0.08432200000000001,0.19155999999999998,0.72412,204.65,1.3395,-0.86615,0.52667
505,192.0,0.08776,0.16354000000000002,0.7487,207.84,1.3601,-0.88899,0.52891
510,275.0,0.098255,0.37938,0.52236,181.41,1.2053,-0.71741,0.51207
515,275.0,0.098255,0.37938,0.52236,181.41,1.2053,-0.71741,0.51207
520,250.0,0.06508,0.34831999999999996,0.5866,181.41,1.2053,-0.71741,0.51207
525,177.0,0.096045,0.096045,0.80791,214.67,1.4063,-0.94019,0.53394
530,7.0,0.0,0.0,1.0,-0.46184,2.8025,-7.6837,5.8812
