,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
10,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
15,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
20,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
25,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
30,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
35,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
40,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
45,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
50,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
55,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
60,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
65,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
70,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
75,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
80,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
85,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
90,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
95,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
100,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
105,130.0,0.1,0.092308,0.80769,151.25,1.4109,-0.961,0.5501
110,130.0,0.1,0.092308,0.80769,151.25,1.4109,-0.961,0.5501
115,130.0,0.1,0.092308,0.80769,151.25,1.4109,-0.961,0.5501
120,130.0,0.1,0.092308,0.80769,151.25,1.4109,-0.961,0.5501
125,130.0,0.1,0.092308,0.80769,151.25,1.4109,-0.961,0.5501
130,130.0,0.1,0.092308,0.80769,151.25,1.4109,-0.961,0.5501
135,130.0,0.1,0.092308,0.80769,151.25,1.4109,-0.961,0.5501
140,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
145,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
150,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
155,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
160,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
165,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
170,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
175,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
180,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
185,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
190,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
195,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
200,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
205,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
210,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
215,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
220,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
225,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
230,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
235,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
240,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
245,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
250,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
255,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
260,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
265,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
270,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
275,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
280,10.0,0.1,0.0,0.9,-0.60433,2.9091,-7.9667,6.0576
285,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
290,180.0,0.1,0.094444,0.80556,214.53,1.4077,-0.9460799999999999,0.5383600000000001
