,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
10,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
15,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
20,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
25,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
30,181.0,0.093923,0.088398,0.8176800000000001,200.2,1.4248,-1.0099,0.58505
35,341.0,0.096774,0.093842,0.80938,402.68,1.4125,-0.9602200000000001,0.54773
40,341.0,0.096774,0.093842,0.80938,402.68,1.4125,-0.9602200000000001,0.54773
45,341.0,0.096774,0.093842,0.80938,402.68,1.4125,-0.9602200000000001,0.54773
50,341.0,0.096774,0.093842,0.80938,402.68,1.4125,-0.9602200000000001,0.54773
55,181.0,0.093923,0.088398,0.8176800000000001,200.2,1.4248,-1.0099,0.58505
60,181.0,0.093923,0.088398,0.8176800000000001,200.2,1.4248,-1.0099,0.58505
65,181.0,0.093923,0.088398,0.8176800000000001,200.2,1.4248,-1.0099,0.58505
70,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
75,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
80,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
85,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
90,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
95,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
100,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
105,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
110,181.0,0.093923,0.088398,0.8176800000000001,200.2,1.4248,-1.0099,0.58505
115,181.0,0.093923,0.088398,0.8176800000000001,200.2,1.4248,-1.0099,0.58505
120,181.0,0.093923,0.088398,0.8176800000000001,200.2,1.4248,-1.0099,0.58505
125,181.0,0.093923,0.088398,0.8176800000000001,200.2,1.4248,-1.0099,0.58505
130,181.0,0.093923,0.088398,0.8176800000000001,200.2,1.4248,-1.0099,0.58505
135,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
140,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
145,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
150,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
155,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
160,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
165,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
170,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
175,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
180,21.0,0.047619,0.0,0.9523799999999999,-2.2799,3.63,-9.88,7.25
