,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
10,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
15,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
20,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
25,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
30,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
35,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
40,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
45,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
50,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
55,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
60,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
65,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
70,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
75,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
80,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
85,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
90,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
95,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
100,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
105,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
110,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
115,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
120,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
125,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
130,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
135,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
140,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
145,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
150,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
155,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
160,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
165,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
170,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
175,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
180,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
185,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
190,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
195,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
200,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
205,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
210,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
215,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
220,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
225,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
230,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
235,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
240,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
245,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
250,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
255,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
260,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
265,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
270,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
275,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
280,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
285,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
290,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
295,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
300,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
305,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
310,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
315,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
320,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
325,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
330,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
335,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
340,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
345,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
350,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
355,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
360,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
365,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
370,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
375,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
380,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
385,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
390,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
395,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
400,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
405,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
410,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
415,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
420,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
425,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
430,66.0,0.30394,0.43909,0.25697,-2.5649,3.63,-9.88,7.25
