,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,953.0,0.26614,0.29896,0.4349,104.35,1.2665,-1.1562,0.8897
10,911.0,0.25858000000000003,0.28093,0.46048,104.35,1.2665,-1.1562,0.8897
15,947.0,0.24875,0.27025,0.48099,99.221,1.3258,-1.375,1.0492
20,877.0,0.24431999999999998,0.23059000000000002,0.52509,108.33,1.3923,-1.4732,1.0809
25,1029.0,0.24584,0.25688,0.49728,118.17,1.2737,-1.0277,0.75403
30,988.0,0.26566,0.29031,0.44403000000000004,-33.693000000000005,0.70452,-1.5584,1.8539
35,878.0,0.24506999999999998,0.24024,0.51469,-33.693000000000005,0.70452,-1.5584,1.8539
40,878.0,0.24506999999999998,0.24024,0.51469,-33.693000000000005,0.70452,-1.5584,1.8539
45,721.0,0.1123,0.25427,0.63343,-33.693000000000005,0.70452,-1.5584,1.8539
50,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
55,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
60,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
65,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
70,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
75,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
80,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
85,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
90,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
95,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
100,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
105,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
110,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
115,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
120,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
125,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
130,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
135,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
140,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
145,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
150,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
155,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
160,49.0,0.2602,0.35204,0.38776,-2.1374,3.63,-9.88,7.25
165,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
170,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
175,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
180,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
185,229.0,0.13427999999999998,0.15392999999999998,0.7117899999999999,225.65,1.4207,-0.99339,0.5726600000000001
190,349.0,0.12249000000000002,0.13539,0.74212,377.51,1.4125,-0.9602200000000001,0.54773
195,349.0,0.12249000000000002,0.13539,0.74212,377.51,1.4125,-0.9602200000000001,0.54773
200,169.0,0.14645,0.17307999999999998,0.68047,149.72,1.431,-1.0345,0.60355
205,169.0,0.14645,0.17307999999999998,0.68047,149.72,1.431,-1.0345,0.60355
210,169.0,0.14645,0.17307999999999998,0.68047,149.72,1.431,-1.0345,0.60355
215,169.0,0.14645,0.17307999999999998,0.68047,149.72,1.431,-1.0345,0.60355
220,169.0,0.14645,0.17307999999999998,0.68047,149.72,1.431,-1.0345,0.60355
225,169.0,0.14645,0.17307999999999998,0.68047,149.72,1.431,-1.0345,0.60355
