,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
10,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
15,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
20,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
25,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
30,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
35,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
40,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
45,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
50,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
55,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
60,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
65,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
70,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
75,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
80,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
85,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
90,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
95,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
100,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
105,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
110,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
115,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
120,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
125,165.0,0.14394,0.17727,0.67879,149.72,1.431,-1.0345,0.60355
130,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
135,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
140,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
145,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
150,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
155,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
160,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
165,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
170,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
175,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
180,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
185,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
190,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
195,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
200,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
205,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
210,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
215,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
220,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
225,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
230,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
235,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
240,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
245,245.0,0.12959,0.15204,0.71837,250.96,1.4187,-0.9851200000000001,0.5664399999999999
250,45.0,0.26111,0.38333,0.35556,-2.1374,3.63,-9.88,7.25
