,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,680.0,0.31144,0.25884,0.42972,-12.478,1.8594,-4.8436,3.9841
10,650.0,0.30596999999999996,0.23894,0.45508999999999994,-12.478,1.8594,-4.8436,3.9841
15,604.0,0.30089,0.2019,0.4972,-9.7439,2.4091,-6.4072,4.9981
20,604.0,0.30089,0.2019,0.4972,-9.7439,2.4091,-6.4072,4.9981
25,604.0,0.30089,0.2019,0.4972,-9.7439,2.4091,-6.4072,4.9981
30,686.0,0.31633,0.26025,0.42343000000000003,-9.7439,2.4091,-6.4072,4.9981
35,543.0,0.39976,0.31640999999999997,0.28383,-6.5546,3.63,-9.88,7.25
40,508.0,0.4273,0.33821,0.23449,-1.5674,3.63,-9.88,7.25
45,644.0,0.33707,0.26679,0.39615,-1.5674,3.63,-9.88,7.25
50,590.0,0.32408000000000003,0.2308,0.44511999999999996,-4.3011,1.2593,-3.1365,2.8772
55,590.0,0.32408000000000003,0.2308,0.44511999999999996,-4.3011,1.2593,-3.1365,2.8772
60,281.0,0.61616,0.38488,-0.001032,-4.7567,1.1291,-2.7662,2.6371
65,281.0,0.61616,0.38488,-0.001032,-4.7567,1.1291,-2.7662,2.6371
70,614.0,0.33252,0.24611,0.42136999999999997,-1.5674,3.63,-9.88,7.25
75,640.0,0.16433,0.25173,0.58394,119.99,1.5098,-1.3517,0.84191
80,898.0,0.11082,0.17584,0.71334,117.26,1.4774,-1.3098,0.83241
85,733.0,0.14941,0.22905999999999999,0.62153,243.81,1.4401,-1.117,0.67691
90,557.0,0.16575,0.25189,0.5823699999999999,243.81,1.4401,-1.117,0.67691
95,557.0,0.16575,0.25189,0.5823699999999999,243.81,1.4401,-1.117,0.67691
100,260.0,0.15023,0.18838,0.66138,251.53,1.4137,-0.96521,0.55148
105,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
110,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
115,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
120,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
125,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
130,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
135,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
140,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
145,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
150,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
155,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
160,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
165,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
170,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
175,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
180,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
185,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
190,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
195,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
200,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
205,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
210,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
215,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
220,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
225,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
230,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
235,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
240,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
245,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
250,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
255,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
260,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
265,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
270,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
275,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
280,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
285,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
290,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
295,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
300,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
305,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
310,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
315,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
320,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
325,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
330,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
335,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
340,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
345,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
350,60.0,0.31767,0.483,0.19933,-1.5674,3.63,-9.88,7.25
355,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
360,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
365,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
370,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
375,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
380,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
385,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
390,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
395,160.0,0.18162999999999999,0.24361999999999998,0.57475,124.98,1.4273,-1.0197,0.59246
400,260.0,0.15023,0.18838,0.66138,251.53,1.4137,-0.96521,0.55148
405,260.0,0.15023,0.18838,0.66138,251.53,1.4137,-0.96521,0.55148
410,260.0,0.15023,0.18838,0.66138,251.53,1.4137,-0.96521,0.55148
415,260.0,0.15023,0.18838,0.66138,251.53,1.4137,-0.96521,0.55148
420,218.0,0.09633,0.09174299999999999,0.81193,251.53,1.4137,-0.96521,0.55148
425,218.0,0.09633,0.09174299999999999,0.81193,251.53,1.4137,-0.96521,0.55148
430,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
435,153.0,0.071895,0.065359,0.86275,119.99,1.5098,-1.3517,0.84191
440,153.0,0.071895,0.065359,0.86275,119.99,1.5098,-1.3517,0.84191
445,195.0,0.14903,0.1999,0.65108,119.99,1.5098,-1.3517,0.84191
450,220.0,0.18095,0.25559,0.56345,119.99,1.5098,-1.3517,0.84191
455,233.0,0.1703,0.29489,0.53481,114.07,1.4412,-1.263,0.8218
460,175.0,0.2728,0.5010899999999999,0.22610999999999998,-12.478,1.8594,-4.8436,3.9841
465,2092.0,0.9391700000000001,0.041917,0.018915,-12.478,1.8594,-4.8436,3.9841
470,150.0,0.2466,0.4696,0.2838,-12.478,1.8594,-4.8436,3.9841
475,150.0,0.2466,0.4696,0.2838,-12.478,1.8594,-4.8436,3.9841
480,2361.0,0.93765,0.047369999999999995,0.014981,-12.478,1.8594,-4.8436,3.9841
485,2346.0,0.9435600000000001,0.055857000000000004,0.00058397,-16.602999999999998,0.25214000000000003,-0.27166,1.0195
490,2346.0,0.9435600000000001,0.055857000000000004,0.00058397,-16.602999999999998,0.25214000000000003,-0.27166,1.0195
495,237.0,0.3403,0.67519,-0.015484999999999999,-16.602999999999998,0.25214000000000003,-0.27166,1.0195
500,257.0,0.38151999999999997,0.65533,-0.036848,-7.4904,0.68053,-1.4902,1.8097
505,257.0,0.38151999999999997,0.65533,-0.036848,-7.4904,0.68053,-1.4902,1.8097
510,257.0,0.38151999999999997,0.65533,-0.036848,-7.4904,0.68053,-1.4902,1.8097
515,215.0,0.37205,0.64856,-0.020605000000000002,-7.4904,0.68053,-1.4902,1.8097
520,215.0,0.37205,0.64856,-0.020605000000000002,-7.4904,0.68053,-1.4902,1.8097
525,351.0,0.22789,0.39726,0.37484,-7.4904,0.68053,-1.4902,1.8097
530,351.0,0.22789,0.39726,0.37484,-7.4904,0.68053,-1.4902,1.8097
535,460.0,0.41085,0.30313,0.28602,-7.4904,0.68053,-1.4902,1.8097
540,490.0,0.41202,0.32682,0.26116,-7.4904,0.68053,-1.4902,1.8097
545,480.0,0.38415,0.33613000000000004,0.27973000000000003,-21.159000000000002,0.17631,-0.055975,0.87966
550,480.0,0.38415,0.33613000000000004,0.27973000000000003,-21.159000000000002,0.17631,-0.055975,0.87966
555,414.0,0.40234000000000003,0.26406,0.3336,-10.224,0.47183,-0.8965799999999999,1.4247
560,378.0,0.40669,0.21921,0.3741,-7.4904,0.68053,-1.4902,1.8097
565,540.0,0.33628,0.26119000000000003,0.40254,109.95,1.2669,-0.8359700000000001,0.56909
570,480.0,0.32456,0.20758000000000001,0.46785,109.95,1.2669,-0.8359700000000001,0.56909
575,612.0,0.25456,0.16280999999999998,0.58263,109.95,1.2669,-0.8359700000000001,0.56909
580,644.0,0.24191,0.15472,0.60337,109.95,1.2669,-0.8359700000000001,0.56909
585,624.0,0.24998,0.12891,0.62111,119.06,1.3598,-0.94242,0.58263
590,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
595,18.0,0.055555999999999994,0.0,0.94444,-1.5674,3.63,-9.88,7.25
600,18.0,0.055555999999999994,0.0,0.94444,-1.5674,3.63,-9.88,7.25
605,18.0,0.055555999999999994,0.0,0.94444,-1.5674,3.63,-9.88,7.25
610,18.0,0.055555999999999994,0.0,0.94444,-1.5674,3.63,-9.88,7.25
615,18.0,0.055555999999999994,0.0,0.94444,-1.5674,3.63,-9.88,7.25
620,18.0,0.055555999999999994,0.0,0.94444,-1.5674,3.63,-9.88,7.25
625,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
630,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
635,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
640,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
645,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
650,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
655,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
660,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
665,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
670,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
675,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
680,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
685,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
690,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
695,118.0,0.09322000000000001,0.084746,0.8220299999999999,124.98,1.4273,-1.0197,0.59246
