,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,430.0,0.095884,0.2213,0.68281,-17.03,0.33693,-0.51284,1.1759
10,430.0,0.095884,0.2213,0.68281,-17.03,0.33693,-0.51284,1.1759
15,430.0,0.095884,0.2213,0.68281,-17.03,0.33693,-0.51284,1.1759
20,490.0,0.1368,0.27869,0.5845100000000001,-17.03,0.33693,-0.51284,1.1759
25,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
30,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
35,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
40,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
45,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
50,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
55,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
60,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
65,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
70,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
75,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
80,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
85,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
90,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
95,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
100,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
105,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
110,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
115,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
120,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
125,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
130,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
135,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
140,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
145,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
150,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
155,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
160,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
165,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
170,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
175,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
180,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
185,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
190,41.0,0.043902,0.46829,0.4878,-11.107000000000001,0.56992,-1.1756,1.6057
