,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
10,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
15,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
20,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
25,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
30,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
35,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
40,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
45,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
50,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
55,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
60,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
65,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
70,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
75,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
80,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
85,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
90,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
95,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
100,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
105,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
110,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
115,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
120,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
125,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
130,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
135,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
140,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
145,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
150,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
155,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
160,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
165,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
170,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
175,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
180,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
185,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
190,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
195,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
200,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
205,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
210,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
215,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
220,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
225,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
230,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
235,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
240,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
245,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
250,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
255,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
260,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
265,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
270,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
275,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
280,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
285,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
290,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
295,342.0,0.09614,0.12433,0.7795300000000001,384.95,1.3908,-0.93584,0.54501
300,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
305,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
310,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
315,182.0,0.092747,0.14570999999999998,0.76154,182.47,1.3814,-0.9623,0.5808800000000001
320,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
325,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
330,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
335,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
340,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
345,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
350,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
355,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
360,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
365,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
370,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
375,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
380,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
385,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
390,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
395,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
400,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
405,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
410,192.0,0.093125,0.14332999999999999,0.76354,195.12,1.3825,-0.95915,0.57662
415,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
420,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
425,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
430,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
435,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
440,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
445,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
450,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
455,32.0,0.05875,0.36,0.58125,-7.3541,0.93245,-2.2261,2.2937
460,20.0,0.1,0.0,0.9,-1.8868,3.2963,-8.9942,6.6979999999999995
465,20.0,0.1,0.0,0.9,-1.8868,3.2963,-8.9942,6.6979999999999995
470,20.0,0.1,0.0,0.9,-1.8868,3.2963,-8.9942,6.6979999999999995
475,20.0,0.1,0.0,0.9,-1.8868,3.2963,-8.9942,6.6979999999999995
480,20.0,0.1,0.0,0.9,-1.8868,3.2963,-8.9942,6.6979999999999995
485,20.0,0.1,0.0,0.9,-1.8868,3.2963,-8.9942,6.6979999999999995
490,170.0,0.1,0.08823500000000001,0.81176,187.94,1.4236,-1.0104,0.5868800000000001
495,330.0,0.1,0.093939,0.80606,390.41,1.4115,-0.95891,0.5474399999999999
500,330.0,0.1,0.093939,0.80606,390.41,1.4115,-0.95891,0.5474399999999999
505,330.0,0.1,0.093939,0.80606,390.41,1.4115,-0.95891,0.5474399999999999
510,330.0,0.1,0.093939,0.80606,390.41,1.4115,-0.95891,0.5474399999999999
515,330.0,0.1,0.093939,0.80606,390.41,1.4115,-0.95891,0.5474399999999999
520,330.0,0.1,0.093939,0.80606,390.41,1.4115,-0.95891,0.5474399999999999
525,330.0,0.1,0.093939,0.80606,390.41,1.4115,-0.95891,0.5474399999999999
530,170.0,0.1,0.08823500000000001,0.81176,187.94,1.4236,-1.0104,0.5868800000000001
535,170.0,0.1,0.08823500000000001,0.81176,187.94,1.4236,-1.0104,0.5868800000000001
540,20.0,0.1,0.0,0.9,-1.8868,3.2963,-8.9942,6.6979999999999995
545,20.0,0.1,0.0,0.9,-1.8868,3.2963,-8.9942,6.6979999999999995
550,20.0,0.1,0.0,0.9,-1.8868,3.2963,-8.9942,6.6979999999999995
