,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
10,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
15,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
20,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
25,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
30,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
35,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
40,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
45,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
50,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
55,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
60,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
65,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
70,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
75,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
80,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
85,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
90,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
95,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
100,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
105,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
110,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
115,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
120,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
125,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
130,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
135,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
140,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
145,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
150,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
155,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
160,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
165,23.0,0.086957,0.0,0.91304,-2.0293,3.315,-9.0441,6.729
