,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,966.0,0.3289,0.55255,0.11855,161.13,1.3182,-0.90796,0.5898
10,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
15,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
20,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
25,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
30,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
35,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
40,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
45,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
50,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
55,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
60,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
65,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
70,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
75,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
80,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
85,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
90,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
95,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
100,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
105,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
110,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
115,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
120,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
125,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
130,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
135,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
140,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
145,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
150,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
155,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
160,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
165,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
170,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
175,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
180,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
185,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
190,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
195,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
200,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
205,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
210,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
215,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
220,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
225,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
230,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
235,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
240,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
245,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
250,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
255,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
260,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
265,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
270,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
275,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
280,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
285,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
290,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
295,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
300,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
305,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
310,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
315,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
320,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
325,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
330,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
335,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
340,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
345,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
350,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
355,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
360,60.0,0.32,0.46,0.22,-2.0293,3.315,-9.0441,6.729
365,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
370,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
375,240.0,0.155,0.19,0.655,225.76,1.421,-0.9993700000000001,0.57833
380,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
385,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
390,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
395,380.0,0.13474,0.15684,0.7084199999999999,402.93,1.4119,-0.9605100000000001,0.54862
400,560.0,0.12357,0.13857,0.7378600000000001,630.71,1.4076,-0.9424,0.53477
405,420.0,0.13143,0.15143,0.71714,453.55,1.4106,-0.95493,0.54435
410,220.0,0.09,0.16909000000000002,0.7409100000000001,216.65,1.3632,-0.93355,0.5704
415,226.0,0.087345,0.19009,0.7225699999999999,213.91,1.3466,-0.9147700000000001,0.56814
420,409.0,0.088362,0.19599,0.71565,-13.875,0.50111,-0.99041,1.4893
425,126.0,0.28683000000000003,0.6361899999999999,0.076984,-13.875,0.50111,-0.99041,1.4893
430,182.0,0.32846,0.65423,0.017308,-14.331,0.48263999999999996,-0.9375600000000001,1.4549
435,182.0,0.32846,0.65423,0.017308,-14.331,0.48263999999999996,-0.9375600000000001,1.4549
440,175.0,0.342,0.642,0.016,-11.142000000000001,0.6422399999999999,-1.3944,1.7521
445,165.0,0.31,0.65545,0.034545,-15.698,0.43348000000000003,-0.79685,1.3634
450,172.0,0.29698,0.66785,0.035174000000000004,-18.887,0.34571999999999997,-0.54569,1.2
455,152.0,0.27947,0.66493,0.055591999999999996,-18.887,0.34571999999999997,-0.54569,1.2
460,4215.0,0.9794299999999999,0.017431,0.0031435,-18.887,0.34571999999999997,-0.54569,1.2
465,4998.0,0.98144,0.015852,0.0027111,-21.621,0.29064,-0.38805,1.0974
470,4979.0,0.9833,0.013472999999999999,0.0032275999999999997,-65.003,0.79355,-0.15754,0.36399000000000004
475,5191.0,0.95011,0.020123,0.029769,167.34,1.2861,-0.76517,0.47908
480,1705.5,0.84611,0.06349199999999999,0.090396,134.8,1.2622,-0.6917300000000001,0.42955
485,315.5,0.16813,0.34321999999999997,0.48865,134.8,1.2622,-0.6917300000000001,0.42955
490,302.5,0.17579,0.31671,0.5075,140.73,1.2878,-0.71843,0.43067
495,60.5,0.2862,0.48967,0.22413000000000002,-77.949,1.1231,-0.33044,0.20738
500,139.5,0.12362000000000001,0.26054,0.6158399999999999,-91.398,1.3605,-1.3597,0.99925
505,183.5,0.20362,0.35828000000000004,0.43809,-48.015,1.6381,-2.5398,1.9017
510,203.5,0.18263,0.41741999999999996,0.39995,-57.126999999999995,1.3633,-2.0228,1.6595
515,219.0,0.16405999999999998,0.45808000000000004,0.37785,-33.703,1.2715,-3.1756,2.9041
520,223.5,0.16539,0.46597,0.36864,-66.24,1.1635,-1.6469999999999998,1.4834
525,203.5,0.18263,0.41741999999999996,0.39995,-57.126999999999995,1.3633,-2.0228,1.6595
530,490.5,0.20626999999999998,0.3604,0.43333,170.66,1.3926,-1.1347,0.7421
535,340.0,0.1,0.094118,0.80588,402.93,1.4119,-0.9605100000000001,0.54862
540,340.0,0.1,0.094118,0.80588,402.93,1.4119,-0.9605100000000001,0.54862
545,340.0,0.1,0.094118,0.80588,402.93,1.4119,-0.9605100000000001,0.54862
550,340.0,0.1,0.094118,0.80588,402.93,1.4119,-0.9605100000000001,0.54862
555,380.0,0.1,0.094737,0.8052600000000001,453.55,1.4106,-0.95493,0.54435
560,380.0,0.1,0.094737,0.8052600000000001,453.55,1.4106,-0.95493,0.54435
565,380.0,0.1,0.094737,0.8052600000000001,453.55,1.4106,-0.95493,0.54435
570,380.0,0.1,0.094737,0.8052600000000001,453.55,1.4106,-0.95493,0.54435
575,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
580,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
585,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
590,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
595,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
600,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
605,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
610,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
615,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
620,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
625,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
630,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
635,200.0,0.1,0.09,0.81,225.76,1.421,-0.9993700000000001,0.57833
640,200.0,0.1,0.09,0.81,225.76,1.421,-0.9993700000000001,0.57833
645,200.0,0.1,0.09,0.81,225.76,1.421,-0.9993700000000001,0.57833
650,200.0,0.1,0.09,0.81,225.76,1.421,-0.9993700000000001,0.57833
655,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
660,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
665,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
670,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
675,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
680,20.0,0.1,0.0,0.9,-2.0293,3.315,-9.0441,6.729
685,160.0,0.1,0.0875,0.8125,175.14,1.4269999999999998,-1.0245,0.59758
690,160.0,0.1,0.0875,0.8125,175.14,1.4269999999999998,-1.0245,0.59758
695,160.0,0.1,0.0875,0.8125,175.14,1.4269999999999998,-1.0245,0.59758
700,340.0,0.1,0.094118,0.80588,402.93,1.4119,-0.9605100000000001,0.54862
705,200.0,0.1,0.09,0.81,225.76,1.421,-0.9993700000000001,0.57833
710,200.0,0.1,0.09,0.81,225.76,1.421,-0.9993700000000001,0.57833
715,380.0,0.1,0.094737,0.8052600000000001,453.55,1.4106,-0.95493,0.54435
