,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,810.0,0.31165,0.28636999999999996,0.40198,202.12,1.3844,-1.1317,0.74724
10,757.0,0.2993,0.26061,0.44009,198.93,1.3659999999999999,-1.1085,0.74255
15,717.0,0.29201,0.23665,0.47134,198.93,1.3659999999999999,-1.1085,0.74255
20,712.0,0.29104,0.23346999999999998,0.47548999999999997,198.93,1.3659999999999999,-1.1085,0.74255
25,726.0,0.28544,0.22764,0.48691,197.25,1.3873,-1.1843,0.79705
30,451.0,0.42038000000000003,0.24991,0.32971,-5.726,1.8492,-4.8146,3.9654
35,451.0,0.42038000000000003,0.24991,0.32971,-5.726,1.8492,-4.8146,3.9654
40,487.0,0.41567,0.28576999999999997,0.29856,-8.4597,1.2194,-3.0229,2.8036
45,491.0,0.42116000000000003,0.28576,0.29308,-5.726,1.8492,-4.8146,3.9654
50,361.0,0.41798,0.14019,0.44183,-5.726,1.8492,-4.8146,3.9654
55,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
60,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
65,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
70,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
75,191.0,0.17382,0.2178,0.60838,176.31,1.4107,-0.9530799999999999,0.54237
80,191.0,0.17382,0.2178,0.60838,176.31,1.4107,-0.9530799999999999,0.54237
85,191.0,0.17382,0.2178,0.60838,176.31,1.4107,-0.9530799999999999,0.54237
90,191.0,0.17382,0.2178,0.60838,176.31,1.4107,-0.9530799999999999,0.54237
95,191.0,0.17382,0.2178,0.60838,176.31,1.4107,-0.9530799999999999,0.54237
100,231.0,0.16104000000000002,0.1974,0.64156,226.93,1.4083,-0.9435399999999999,0.5352
105,231.0,0.16104000000000002,0.1974,0.64156,226.93,1.4083,-0.9435399999999999,0.5352
110,231.0,0.16104000000000002,0.1974,0.64156,226.93,1.4083,-0.9435399999999999,0.5352
115,231.0,0.16104000000000002,0.1974,0.64156,226.93,1.4083,-0.9435399999999999,0.5352
120,231.0,0.16104000000000002,0.1974,0.64156,226.93,1.4083,-0.9435399999999999,0.5352
125,231.0,0.16104000000000002,0.1974,0.64156,226.93,1.4083,-0.9435399999999999,0.5352
130,231.0,0.16104000000000002,0.1974,0.64156,226.93,1.4083,-0.9435399999999999,0.5352
135,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
140,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
145,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
150,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
155,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
160,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
165,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
170,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
175,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
180,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
185,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
190,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
195,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
200,51.0,0.37646999999999997,0.54118,0.082353,-0.85495,3.63,-9.88,7.25
205,231.0,0.16104000000000002,0.1974,0.64156,226.93,1.4083,-0.9435399999999999,0.5352
