,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,2839.0,0.8225399999999999,0.07858,0.098876,184.08,1.3472,-0.9787299999999999,0.63149
10,2881.0,0.81682,0.087494,0.09568600000000001,184.08,1.3472,-0.9787299999999999,0.63149
15,2964.0,0.8296399999999999,0.07573200000000001,0.094626,184.08,1.3472,-0.9787299999999999,0.63149
20,2804.0,0.8712799999999999,0.074347,0.054376,-18.399,0.76663,-1.7351,1.9685
25,2750.0,0.8789799999999999,0.062847,0.058171,-21.131999999999998,0.65452,-1.4162,1.7617
30,2811.0,0.86924,0.07645700000000001,0.05430499999999999,-21.131999999999998,0.65452,-1.4162,1.7617
35,2756.0,0.882,0.061763,0.056241,-9.7421,1.5367,-3.9256,3.3889
40,2280.0,0.97829,0.015132,0.0065789,-2.4224,3.63,-9.88,7.25
45,2280.0,0.97829,0.015132,0.0065789,-2.4224,3.63,-9.88,7.25
50,2280.0,0.97829,0.015132,0.0065789,-2.4224,3.63,-9.88,7.25
55,2280.0,0.97829,0.015132,0.0065789,-2.4224,3.63,-9.88,7.25
60,2280.0,0.97829,0.015132,0.0065789,-2.4224,3.63,-9.88,7.25
65,2280.0,0.97829,0.015132,0.0065789,-2.4224,3.63,-9.88,7.25
70,2280.0,0.97829,0.015132,0.0065789,-2.4224,3.63,-9.88,7.25
75,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
80,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
85,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
90,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
95,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
100,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
105,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
110,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
115,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
120,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
125,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
130,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
135,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
140,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
145,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
150,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
155,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
160,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
165,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
170,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
175,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
180,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
185,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
190,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
195,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
200,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
205,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
210,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
215,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
220,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
225,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
230,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
235,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
240,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
245,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
250,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
255,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
260,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
265,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
270,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
275,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
280,233.0,0.16953,0.21674000000000002,0.61373,200.06,1.4264,-1.016,0.58968
285,73.0,0.32192,0.4726,0.20548000000000002,-2.4224,3.63,-9.88,7.25
