,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
10,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
15,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
20,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
25,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
30,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
35,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
40,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
45,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
50,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
55,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
60,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
65,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
70,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
75,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
80,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
85,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
90,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
95,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
100,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
105,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
110,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
115,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
120,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
125,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
130,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
135,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
140,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
145,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
150,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
155,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
160,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
165,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
170,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
175,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
180,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
185,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
190,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
195,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
200,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
205,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
210,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
215,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
220,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
225,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
230,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
235,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
240,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
245,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
250,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
255,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
260,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
265,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
270,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
275,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
280,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
285,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
290,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
295,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
300,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
305,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
310,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
315,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
320,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
325,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
330,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
335,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
340,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
345,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
350,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
355,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
360,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
365,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
370,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
375,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
380,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
385,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
390,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
395,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
400,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
405,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
410,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
415,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
420,213.0,0.098592,0.089202,0.81221,238.77,1.4192,-1.0008,0.5815899999999999
425,213.0,0.098592,0.089202,0.81221,238.77,1.4192,-1.0008,0.5815899999999999
430,213.0,0.098592,0.089202,0.81221,238.77,1.4192,-1.0008,0.5815899999999999
435,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
440,313.0,0.20447,0.28115,0.5143800000000001,238.77,1.4192,-1.0008,0.5815899999999999
445,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
450,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
455,123.0,0.36585,0.56098,0.073171,-1.6705,2.8768,-7.8808,6.0041
460,182.0,0.24725,0.37911999999999996,0.37363,-10.078,3.4236,-9.3321,6.9085
465,182.0,0.24725,0.37911999999999996,0.37363,-10.078,3.4236,-9.3321,6.9085
470,247.0,0.29534,0.46093,0.24372,-10.078,3.4236,-9.3321,6.9085
475,247.0,0.29534,0.46093,0.24372,-10.078,3.4236,-9.3321,6.9085
480,357.0,0.33683,0.53151,0.13165,-10.078,3.4236,-9.3321,6.9085
485,357.0,0.33683,0.53151,0.13165,-10.078,3.4236,-9.3321,6.9085
490,357.0,0.33683,0.53151,0.13165,-10.078,3.4236,-9.3321,6.9085
495,357.0,0.33683,0.53151,0.13165,-10.078,3.4236,-9.3321,6.9085
500,357.0,0.33683,0.53151,0.13165,-10.078,3.4236,-9.3321,6.9085
505,317.0,0.32508000000000004,0.51151,0.16341,-10.078,3.4236,-9.3321,6.9085
510,317.0,0.32508000000000004,0.51151,0.16341,-10.078,3.4236,-9.3321,6.9085
515,1372.0,0.059439,0.093039,0.84752,266.86,0.5693600000000001,-1.7568,2.1874
