,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
10,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
15,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
20,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
25,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
30,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
35,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
40,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
45,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
50,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
55,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
60,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
65,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
70,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
75,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
80,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
85,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
90,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
95,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
100,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
105,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
110,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
115,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
120,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
125,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
130,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
135,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
140,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
145,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
150,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
155,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
160,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
165,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
170,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
175,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
180,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
185,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
190,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
195,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
200,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
205,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
210,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
215,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
220,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
225,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
230,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
235,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
240,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
245,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
250,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
255,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
260,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
265,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
270,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
275,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
280,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
285,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
290,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
295,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
300,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
305,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
310,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
315,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
320,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
325,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
330,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
335,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
340,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
345,193.0,0.098135,0.11793,0.78394,211.08,1.3962,-0.9542,0.55804
350,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
355,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
360,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
365,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
370,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
375,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
380,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
385,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
390,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
395,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
400,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
405,98.0,0.34888,0.5868399999999999,0.064286,-4.0505,1.2147,-3.0431,2.8284
410,268.0,0.19100999999999999,0.27802,0.5309699999999999,211.08,1.3962,-0.9542,0.55804
415,268.0,0.19100999999999999,0.27802,0.5309699999999999,211.08,1.3962,-0.9542,0.55804
420,268.0,0.19100999999999999,0.27802,0.5309699999999999,211.08,1.3962,-0.9542,0.55804
425,304.0,0.21063,0.33214,0.45724,208.35,1.3778,-0.9335,0.55572
430,134.0,0.35097,0.62664,0.022387999999999998,-6.7842,0.72141,-1.6273,1.9059
435,128.0,0.36789,0.61102,0.021093999999999998,-4.0505,1.2147,-3.0431,2.8284
440,2324.0,0.9405,0.06285299999999999,-0.0033563000000000004,-6.7842,0.72141,-1.6273,1.9059
445,264.0,0.38989,0.65784,-0.047727,-6.7842,0.72141,-1.6273,1.9059
450,234.0,0.38474,0.65372,-0.038462,-6.7842,0.72141,-1.6273,1.9059
455,124.0,0.3446,0.62153,0.033871,-6.7842,0.72141,-1.6273,1.9059
460,263.0,0.26056999999999997,0.45046,0.28897,-18.041,2.4872,-6.6375,5.1503
465,270.0,0.25356,0.46366999999999997,0.28278000000000003,-21.23,2.1075,-5.5562,4.4487
470,102.0,0.01902,0.056471,0.92451,-15.307,2.9346,-7.9115,5.9769
475,102.0,0.01902,0.056471,0.92451,-15.307,2.9346,-7.9115,5.9769
480,102.0,0.01902,0.056471,0.92451,-15.307,2.9346,-7.9115,5.9769
485,102.0,0.01902,0.056471,0.92451,-15.307,2.9346,-7.9115,5.9769
490,272.0,0.069632,0.083676,0.8466899999999999,199.83,1.505,-1.3893,0.8842200000000001
495,272.0,0.069632,0.083676,0.8466899999999999,199.83,1.505,-1.3893,0.8842200000000001
500,272.0,0.069632,0.083676,0.8466899999999999,199.83,1.505,-1.3893,0.8842200000000001
505,272.0,0.069632,0.083676,0.8466899999999999,199.83,1.505,-1.3893,0.8842200000000001
510,102.0,0.01902,0.056471,0.92451,-15.307,2.9346,-7.9115,5.9769
515,96.0,0.020833,0.0,0.9791700000000001,-12.574000000000002,3.569,-9.7182,7.1492
520,17.0,0.11765,0.0,0.88235,-1.3168,3.1916,-8.7165,6.5249
525,57.0,0.33684000000000003,0.48421000000000003,0.17895,-1.3168,3.1916,-8.7165,6.5249
530,117.0,0.38461999999999996,0.5897399999999999,0.025641000000000004,-1.3168,3.1916,-8.7165,6.5249
535,77.0,0.36104,0.53766,0.1013,-1.3168,3.1916,-8.7165,6.5249
540,77.0,0.36104,0.53766,0.1013,-1.3168,3.1916,-8.7165,6.5249
545,207.0,0.76232,0.2,0.037681,-1.3168,3.1916,-8.7165,6.5249
550,207.0,0.76232,0.2,0.037681,-1.3168,3.1916,-8.7165,6.5249
555,307.0,0.60785,0.28544,0.10670999999999999,-6.019,3.5078,-9.5556,7.0478
560,388.0,0.5251,0.3143,0.16059,-9.2083,2.3227,-6.1771,4.8544
565,388.0,0.5251,0.3143,0.16059,-9.2083,2.3227,-6.1771,4.8544
570,504.0,0.38666999999999996,0.20498000000000002,0.40835,203.19,1.4214,-1.115,0.69367
575,4441.0,0.7235699999999999,-0.2332,0.50963,1040.2,1.5146,-1.3627,0.84803
580,2420.0,0.46007,-0.42795,0.9678700000000001,1028.9,1.5368,-1.4518,0.9150200000000001
585,2387.0,0.46643,-0.43386,0.9674299999999999,1033.6,1.5276,-1.4148,0.88721
590,2217.0,0.49453,-0.4748,0.9802700000000001,818.47,1.5596,-1.5417,0.98201
595,361.0,0.47863999999999995,0.19752999999999998,0.32382,-15.307,2.9346,-7.9115,5.9769
600,361.0,0.47863999999999995,0.19752999999999998,0.32382,-15.307,2.9346,-7.9115,5.9769
605,336.0,0.48226,0.16089,0.35685,-15.307,2.9346,-7.9115,5.9769
610,336.0,0.48226,0.16089,0.35685,-15.307,2.9346,-7.9115,5.9769
615,2336.0,0.92553,0.023142,0.051327,-15.307,2.9346,-7.9115,5.9769
620,2296.0,0.93416,0.011524,0.054312,-15.307,2.9346,-7.9115,5.9769
625,2262.0,0.94821,0.011698,0.040097,-15.307,2.9346,-7.9115,5.9769
630,2132.0,0.94505,0.012411,0.042542,-15.307,2.9346,-7.9115,5.9769
635,2132.0,0.94505,0.012411,0.042542,-15.307,2.9346,-7.9115,5.9769
640,2132.0,0.94505,0.012411,0.042542,-15.307,2.9346,-7.9115,5.9769
645,3129.0,0.9535600000000001,0.019847,0.02659,-12.574000000000002,3.569,-9.7182,7.1492
650,3190.0,0.93661,0.018307,0.045078,213.82,1.415,-0.9754200000000001,0.5604
655,3190.0,0.93661,0.018307,0.045078,213.82,1.415,-0.9754200000000001,0.5604
660,3130.0,0.9463299999999999,0.0054313,0.048243,213.82,1.415,-0.9754200000000001,0.5604
665,2730.0,0.9384600000000001,0.0062271,0.055311,213.82,1.415,-0.9754200000000001,0.5604
670,2590.0,0.98761,0.0079923,0.0044015,-1.3168,3.1916,-8.7165,6.5249
675,1647.0,0.98051,0.012568000000000001,0.0069217,-1.3168,3.1916,-8.7165,6.5249
680,1387.0,0.96042,0.034823,0.0047585,-1.3168,3.1916,-8.7165,6.5249
685,1387.0,0.96042,0.034823,0.0047585,-1.3168,3.1916,-8.7165,6.5249
690,1387.0,0.96042,0.034823,0.0047585,-1.3168,3.1916,-8.7165,6.5249
695,1027.0,0.9465399999999999,0.04703,0.0064265,-1.3168,3.1916,-8.7165,6.5249
700,957.0,0.9843299999999999,0.0,0.015674,-1.3168,3.1916,-8.7165,6.5249
705,957.0,0.9843299999999999,0.0,0.015674,-1.3168,3.1916,-8.7165,6.5249
710,17.0,0.11765,0.0,0.88235,-1.3168,3.1916,-8.7165,6.5249
715,23.0,0.084348,0.25043000000000004,0.66522,-4.0505,1.2147,-3.0431,2.8284
720,29.0,0.064828,0.39724,0.53793,-6.7842,0.72141,-1.6273,1.9059
725,29.0,0.064828,0.39724,0.53793,-6.7842,0.72141,-1.6273,1.9059
730,199.0,0.094874,0.14332,0.76181,208.35,1.3778,-0.9335,0.55572
735,199.0,0.094874,0.14332,0.76181,208.35,1.3778,-0.9335,0.55572
