,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,475.0,0.17168,0.30611,0.5222100000000001,125.68,1.3193,-0.91322,0.59388
10,449.0,0.16261,0.28026999999999996,0.55713,128.41,1.3452,-0.9431700000000001,0.59796
15,639.0,0.15947999999999998,0.25437,0.58615,330.89,1.3767,-0.92412,0.54743
20,589.0,0.19815,0.32757,0.47428000000000003,191.68,1.3615,-0.9333299999999999,0.57186
25,529.0,0.17185,0.28647,0.54168,191.68,1.3615,-0.9333299999999999,0.57186
30,181.0,0.09944800000000001,0.088398,0.81215,200.34,1.4233,-1.0037,0.58041
35,181.0,0.09944800000000001,0.088398,0.81215,200.34,1.4233,-1.0037,0.58041
40,181.0,0.09944800000000001,0.088398,0.81215,200.34,1.4233,-1.0037,0.58041
45,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
50,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
55,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
60,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
65,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
70,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
75,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
80,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
85,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
90,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
95,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
100,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
105,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
110,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
115,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
120,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
125,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
130,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
135,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
140,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
145,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
150,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
155,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
160,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
165,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
170,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
175,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
180,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
185,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
190,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
195,181.0,0.09944800000000001,0.088398,0.81215,200.34,1.4233,-1.0037,0.58041
200,181.0,0.09944800000000001,0.088398,0.81215,200.34,1.4233,-1.0037,0.58041
205,181.0,0.09944800000000001,0.088398,0.81215,200.34,1.4233,-1.0037,0.58041
210,181.0,0.09944800000000001,0.088398,0.81215,200.34,1.4233,-1.0037,0.58041
215,181.0,0.09944800000000001,0.088398,0.81215,200.34,1.4233,-1.0037,0.58041
220,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
225,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
230,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
235,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
240,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
245,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
250,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
255,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
260,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
265,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
270,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
275,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
280,131.0,0.099237,0.083969,0.81679,137.07,1.4337,-1.0456,0.61192
285,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
290,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
295,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
300,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
305,291.0,0.099656,0.092784,0.8075600000000001,339.54,1.4139,-0.9657600000000001,0.5519
310,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
315,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
320,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
325,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
330,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
335,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
340,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
345,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
350,21.0,0.095238,0.0,0.90476,-2.1374,3.63,-9.88,7.25
