,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
10,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
15,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
20,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
25,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
30,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
35,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
40,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
45,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
50,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
55,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
60,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
65,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
70,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
75,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
80,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
85,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
90,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
95,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
100,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
105,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
110,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
115,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
120,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
125,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
130,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
135,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
140,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
145,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
150,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
155,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
160,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
165,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
170,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
175,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
180,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
185,219.0,0.15616,0.19909000000000002,0.64475,200.34,1.4233,-1.0037,0.58041
190,219.0,0.15616,0.19909000000000002,0.64475,200.34,1.4233,-1.0037,0.58041
195,219.0,0.15616,0.19909000000000002,0.64475,200.34,1.4233,-1.0037,0.58041
200,219.0,0.15616,0.19909000000000002,0.64475,200.34,1.4233,-1.0037,0.58041
205,219.0,0.15616,0.19909000000000002,0.64475,200.34,1.4233,-1.0037,0.58041
210,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
215,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
220,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
225,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
230,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
235,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
240,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
245,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
250,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
255,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
260,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
265,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
270,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
275,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
280,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
285,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
290,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
295,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
300,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
305,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
310,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
315,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
320,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
325,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
330,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
335,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
340,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
345,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
350,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
355,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
360,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
365,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
370,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
375,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
380,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
385,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
390,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
395,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
400,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
405,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
410,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
415,59.0,0.30846999999999997,0.4678,0.22373,-2.1374,3.63,-9.88,7.25
