,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,375.0,0.10250999999999999,0.23456,0.66293,168.91,1.1396,-0.96406,0.82449
10,375.0,0.10250999999999999,0.23456,0.66293,168.91,1.1396,-0.96406,0.82449
15,415.0,0.13407,0.27846,0.5874699999999999,168.91,1.1396,-0.96406,0.82449
20,289.0,0.15120999999999998,0.33841,0.5103800000000001,19.783,0.43598000000000003,-1.2139,1.7779
25,489.0,0.13027,0.2409,0.62883,272.88,1.2373,-0.96129,0.72401
30,489.0,0.13027,0.2409,0.62883,272.88,1.2373,-0.96129,0.72401
35,489.0,0.13027,0.2409,0.62883,272.88,1.2373,-0.96129,0.72401
40,459.0,0.13943,0.1939,0.66667,286.55,1.3001,-1.0408,0.74065
45,459.0,0.13943,0.1939,0.66667,286.55,1.3001,-1.0408,0.74065
50,219.0,0.09589,0.091324,0.81279,251.46,1.4168,-0.98601,0.56923
55,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
60,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
65,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
70,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
75,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
80,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
85,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
90,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
95,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
100,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
105,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
110,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
115,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
120,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
125,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
130,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
135,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
140,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
145,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
150,219.0,0.09589,0.091324,0.81279,251.46,1.4168,-0.98601,0.56923
155,219.0,0.09589,0.091324,0.81279,251.46,1.4168,-0.98601,0.56923
160,219.0,0.09589,0.091324,0.81279,251.46,1.4168,-0.98601,0.56923
165,219.0,0.09589,0.091324,0.81279,251.46,1.4168,-0.98601,0.56923
170,219.0,0.09589,0.091324,0.81279,251.46,1.4168,-0.98601,0.56923
175,219.0,0.09589,0.091324,0.81279,251.46,1.4168,-0.98601,0.56923
180,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
185,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
190,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
195,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
200,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
205,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
210,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
215,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
220,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
225,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
230,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
235,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
240,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
245,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
250,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
255,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
260,19.0,0.052632000000000005,0.0,0.94737,-1.6361,3.0259,-8.2767,6.2508
265,139.0,0.093525,0.08633099999999999,0.82014,150.22,1.4278,-1.0358,0.60805
270,139.0,0.093525,0.08633099999999999,0.82014,150.22,1.4278,-1.0358,0.60805
275,339.0,0.097345,0.094395,0.8082600000000001,403.32,1.4105,-0.9576899999999999,0.5471600000000001
