,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
10,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
15,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
20,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
25,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
30,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
35,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
40,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
45,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
50,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
55,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
60,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
65,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
70,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
75,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
80,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
85,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
90,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
95,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
100,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
105,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
110,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
115,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
120,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
125,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
130,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
135,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
140,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
145,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
150,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
155,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
160,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
165,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
170,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
175,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
180,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
185,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
190,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
195,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
200,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
205,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
210,229.0,0.1393,0.16899999999999998,0.6917,225.51,1.4221,-0.99889,0.5767899999999999
215,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
220,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
225,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
230,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
235,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
240,49.0,0.28367,0.42245,0.29388000000000003,-2.2799,3.63,-9.88,7.25
