,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,2065.0,0.8466,0.07062,0.08277999999999999,-14.561,2.9297,-7.888,5.9583
10,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
15,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
20,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
25,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
30,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
35,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
40,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
45,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
50,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
55,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
60,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
65,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
70,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
75,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
80,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
85,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
90,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
95,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
100,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
105,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
110,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
115,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
120,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
125,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
130,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
135,376.0,0.13846,0.16218,0.69936,403.96,1.4055,-0.93204,0.52656
140,376.0,0.13846,0.16218,0.69936,403.96,1.4055,-0.93204,0.52656
145,376.0,0.13846,0.16218,0.69936,403.96,1.4055,-0.93204,0.52656
150,376.0,0.13846,0.16218,0.69936,403.96,1.4055,-0.93204,0.52656
155,376.0,0.13846,0.16218,0.69936,403.96,1.4055,-0.93204,0.52656
160,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
165,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
170,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
175,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
180,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
185,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
190,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
195,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
200,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
205,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
210,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
215,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
220,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
225,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
230,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
235,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
240,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
245,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
250,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
255,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
260,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
265,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
270,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
275,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
280,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
285,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
290,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
295,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
300,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
305,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
310,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
315,376.0,0.13846,0.16218,0.69936,403.96,1.4055,-0.93204,0.52656
320,376.0,0.13846,0.16218,0.69936,403.96,1.4055,-0.93204,0.52656
325,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
330,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
335,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
340,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
345,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
350,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
355,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
360,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
365,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
370,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
375,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
380,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
385,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
390,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
395,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
400,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
405,216.0,0.16694,0.20824,0.6248100000000001,201.48,1.4109,-0.9539700000000001,0.54304
410,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
415,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
420,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
425,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
430,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
435,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
440,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
445,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
450,56.0,0.35821,0.5175,0.12429000000000001,-0.99745,3.63,-9.88,7.25
455,171.0,0.11731,0.16947,0.71322,-17.384,3.63,-9.88,7.25
460,200.0,0.1003,0.1449,0.7548,-21.516,3.63,-9.88,7.25
465,366.0,0.098361,0.13863,0.7630100000000001,178.23,1.5935,-1.7415,1.1479
470,320.0,0.11269000000000001,0.14056,0.74675,186.66,1.5616,-1.5599,0.99835
475,320.0,0.11269000000000001,0.14056,0.74675,186.66,1.5616,-1.5599,0.99835
480,320.0,0.11269000000000001,0.14056,0.74675,186.66,1.5616,-1.5599,0.99835
485,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
490,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
495,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
500,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
505,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
510,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
515,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
520,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
525,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
530,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
535,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
540,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
545,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
550,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
555,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
560,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
565,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
570,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
575,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
580,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
585,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
590,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
595,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
600,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
605,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
610,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
615,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
620,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
625,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
630,14.0,0.14286,0.0,0.85714,-0.99745,3.63,-9.88,7.25
635,174.0,0.10345,0.091954,0.8046,201.48,1.4109,-0.9539700000000001,0.54304
640,204.0,0.15147,0.1799,0.6686300000000001,201.48,1.4109,-0.9539700000000001,0.54304
645,204.0,0.15147,0.1799,0.6686300000000001,201.48,1.4109,-0.9539700000000001,0.54304
650,204.0,0.15147,0.1799,0.6686300000000001,201.48,1.4109,-0.9539700000000001,0.54304
655,204.0,0.15147,0.1799,0.6686300000000001,201.48,1.4109,-0.9539700000000001,0.54304
660,204.0,0.15147,0.1799,0.6686300000000001,201.48,1.4109,-0.9539700000000001,0.54304
665,44.0,0.33864,0.47045,0.19091,-0.99745,3.63,-9.88,7.25
670,44.0,0.33864,0.47045,0.19091,-0.99745,3.63,-9.88,7.25
675,1863.0,0.90709,0.019699,0.073215,201.48,1.4109,-0.9539700000000001,0.54304
680,240.0,0.12875,0.15292,0.71833,196.35,1.4655,-1.1735,0.70797
685,240.0,0.12875,0.15292,0.71833,196.35,1.4655,-1.1735,0.70797
690,240.0,0.12875,0.15292,0.71833,196.35,1.4655,-1.1735,0.70797
695,240.0,0.12875,0.15292,0.71833,196.35,1.4655,-1.1735,0.70797
700,240.0,0.12875,0.15292,0.71833,196.35,1.4655,-1.1735,0.70797
705,240.0,0.12875,0.15292,0.71833,196.35,1.4655,-1.1735,0.70797
710,240.0,0.12875,0.15292,0.71833,196.35,1.4655,-1.1735,0.70797
715,56.0,0.034643,0.10286,0.8625,-8.8608,2.4792,-6.6067,5.1274
720,337.0,0.053234000000000004,0.06457,0.8822,193.62,1.4452,-1.1488,0.7036
725,337.0,0.053234000000000004,0.06457,0.8822,193.62,1.4452,-1.1488,0.7036
730,366.0,0.049016000000000004,0.05945399999999999,0.8915299999999999,189.48,1.4871,-1.3163,0.82914
735,366.0,0.049016000000000004,0.05945399999999999,0.8915299999999999,189.48,1.4871,-1.3163,0.82914
740,366.0,0.049016000000000004,0.05945399999999999,0.8915299999999999,189.48,1.4871,-1.3163,0.82914
745,408.0,0.08823500000000001,0.12435999999999998,0.7874,189.48,1.4871,-1.3163,0.82914
750,248.0,0.08064500000000001,0.14007999999999998,0.77927,-12.993,2.8452,-7.6477,5.8025
755,248.0,0.08064500000000001,0.14007999999999998,0.77927,-12.993,2.8452,-7.6477,5.8025
760,248.0,0.08064500000000001,0.14007999999999998,0.77927,-12.993,2.8452,-7.6477,5.8025
765,248.0,0.08064500000000001,0.14007999999999998,0.77927,-12.993,2.8452,-7.6477,5.8025
770,206.0,0.0094175,0.027961,0.96262,-12.993,2.8452,-7.6477,5.8025
775,206.0,0.0094175,0.027961,0.96262,-12.993,2.8452,-7.6477,5.8025
780,206.0,0.0094175,0.027961,0.96262,-12.993,2.8452,-7.6477,5.8025
785,264.0,0.0051515,0.23273000000000002,0.76212,-39.419000000000004,0.8708,-2.0314,2.1606
790,264.0,0.0051515,0.23273000000000002,0.76212,-39.419000000000004,0.8708,-2.0314,2.1606
795,264.0,0.0051515,0.23273000000000002,0.76212,-39.419000000000004,0.8708,-2.0314,2.1606
800,264.0,0.0051515,0.23273000000000002,0.76212,-39.419000000000004,0.8708,-2.0314,2.1606
805,424.0,0.040943,0.18264,0.77642,163.06,1.3138,-1.0927,0.77898
810,424.0,0.040943,0.18264,0.77642,163.06,1.3138,-1.0927,0.77898
815,418.0,0.041675,0.17148,0.78684,165.79,1.3299,-1.1136,0.78366
820,360.0,0.05,0.044444,0.90556,192.22,1.5075,-1.3426,0.83504
825,331.0,0.05438099999999999,0.048338,0.89728,196.35,1.4655,-1.1735,0.70797
830,331.0,0.05438099999999999,0.048338,0.89728,196.35,1.4655,-1.1735,0.70797
835,171.0,0.011696,0.0,0.9883,-6.1272,3.63,-9.88,7.25
840,171.0,0.011696,0.0,0.9883,-6.1272,3.63,-9.88,7.25
845,248.0,0.0078226,0.023226,0.96895,-3.7311,0.8971399999999999,-2.1064,2.2092
850,242.0,0.0082645,0.0,0.99174,-0.99745,3.63,-9.88,7.25
855,460.0,0.03787,0.15583,0.8063,175.05,1.2373,-0.76041,0.52315
860,460.0,0.03787,0.15583,0.8063,175.05,1.2373,-0.76041,0.52315
865,460.0,0.03787,0.15583,0.8063,175.05,1.2373,-0.76041,0.52315
870,489.0,0.035624,0.14658,0.81779,170.92,1.2795,-0.92143,0.6419199999999999
875,574.0,0.094024,0.22705999999999998,0.67892,170.92,1.2795,-0.92143,0.6419199999999999
880,574.0,0.094024,0.22705999999999998,0.67892,170.92,1.2795,-0.92143,0.6419199999999999
885,934.0,0.076199,0.16909000000000002,0.75471,170.92,1.2795,-0.92143,0.6419199999999999
890,904.0,0.064458,0.1518,0.78374,170.92,1.2795,-0.92143,0.6419199999999999
895,590.0,0.098661,0.24236,0.65898,168.19,1.2636,-0.9023700000000001,0.63879
900,590.0,0.098661,0.24236,0.65898,168.19,1.2636,-0.9023700000000001,0.63879
905,560.0,0.080911,0.21836999999999998,0.70071,168.19,1.2636,-0.9023700000000001,0.63879
910,554.0,0.08189500000000001,0.21034,0.7077600000000001,170.92,1.2795,-0.92143,0.6419199999999999
915,554.0,0.08189500000000001,0.21034,0.7077600000000001,170.92,1.2795,-0.92143,0.6419199999999999
920,584.0,0.099777,0.23498000000000002,0.6652399999999999,170.92,1.2795,-0.92143,0.6419199999999999
925,424.0,0.09969299999999999,0.28592,0.61439,-31.555,0.50636,-0.99479,1.4884
930,424.0,0.09969299999999999,0.28592,0.61439,-31.555,0.50636,-0.99479,1.4884
935,466.0,0.12946,0.32234,0.5482,-31.555,0.50636,-0.99479,1.4884
940,365.0,0.16512000000000002,0.42732,0.40756,-34.289,0.45802,-0.8572799999999999,1.3993
945,336.0,0.12818,0.38205,0.48976000000000003,-35.856,0.59668,-1.2517,1.655
950,336.0,0.12818,0.38205,0.48976000000000003,-35.856,0.59668,-1.2517,1.655
955,343.0,0.13026,0.3916,0.47813,-86.47,0.8620200000000001,-0.54246,0.6804399999999999
960,276.0,0.0575,0.31917,0.62333,-86.47,0.8620200000000001,-0.54246,0.6804399999999999
965,318.0,0.1067,0.36814,0.5251600000000001,-86.47,0.8620200000000001,-0.54246,0.6804399999999999
970,318.0,0.1067,0.36814,0.5251600000000001,-86.47,0.8620200000000001,-0.54246,0.6804399999999999
975,318.0,0.1067,0.36814,0.5251600000000001,-86.47,0.8620200000000001,-0.54246,0.6804399999999999
980,476.0,0.10309000000000001,0.27666,0.62025,116.01,1.239,-0.80001,0.561
985,534.0,0.090805,0.35088,0.5583100000000001,89.583,1.1268,-0.67181,0.545
990,567.0,0.11302000000000001,0.36864,0.5183399999999999,140.2,1.1415,-0.79259,0.6511
995,597.0,0.12894,0.38479,0.48626,140.2,1.1415,-0.79259,0.6511
1000,568.0,0.13552999999999998,0.40444,0.46003999999999995,144.33,1.102,-0.64851,0.54647
1005,527.0,0.12159,0.39662,0.48178000000000004,145.9,1.0867,-0.59265,0.5059100000000001
1010,387.0,0.13964000000000001,0.5386,0.32176,-59.316,-0.037277,0.5515800000000001,0.48568999999999996
1015,266.0,0.20315999999999998,0.78361,0.013233000000000002,-59.316,-0.037277,0.5515800000000001,0.48568999999999996
1020,259.0,0.19162,0.79046,0.017915,-109.93,0.46331999999999995,0.27921,0.25747
1025,259.0,0.19162,0.79046,0.017915,-109.93,0.46331999999999995,0.27921,0.25747
1030,259.0,0.19162,0.79046,0.017915,-109.93,0.46331999999999995,0.27921,0.25747
1035,419.0,0.15663,0.5268,0.31656,92.54899999999999,1.0704,-0.49154,0.42113999999999996
1040,459.0,0.18045999999999998,0.54102,0.27852,92.54899999999999,1.0704,-0.49154,0.42113999999999996
1045,483.0,0.19832,0.5450699999999999,0.2566,95.28200000000001,1.0807,-0.50233,0.42158999999999996
1050,443.0,0.1774,0.53199,0.29061,95.28200000000001,1.0807,-0.50233,0.42158999999999996
1055,443.0,0.1774,0.53199,0.29061,95.28200000000001,1.0807,-0.50233,0.42158999999999996
1060,437.0,0.17998,0.5261100000000001,0.29391,98.016,1.0913,-0.5133,0.42205
1065,656.0,0.18295999999999998,0.43692,0.38011999999999996,300.49,1.214,-0.67098,0.45701
