,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
10,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
15,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
20,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
25,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
30,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
35,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
40,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
45,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
50,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
55,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
60,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
65,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
70,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
75,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
80,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
85,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
90,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
95,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
100,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
105,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
110,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
115,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
120,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
125,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
130,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
135,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
140,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
145,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
150,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
155,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
160,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
165,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
170,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
175,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
180,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
185,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
190,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
195,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
200,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
205,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
210,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
215,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
220,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
225,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
230,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
235,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
240,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
245,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
250,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
255,383.0,0.10182999999999999,0.096606,0.80157,467.73,1.4037,-0.92961,0.52589
260,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
265,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
270,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
275,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
280,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
285,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
290,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
295,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
300,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
305,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
310,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
315,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
320,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
325,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
330,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
335,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
340,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
345,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
350,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
355,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
360,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
365,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
370,383.0,0.10182999999999999,0.096606,0.80157,467.73,1.4037,-0.92961,0.52589
375,383.0,0.10182999999999999,0.096606,0.80157,467.73,1.4037,-0.92961,0.52589
380,383.0,0.10182999999999999,0.096606,0.80157,467.73,1.4037,-0.92961,0.52589
385,383.0,0.10182999999999999,0.096606,0.80157,467.73,1.4037,-0.92961,0.52589
390,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
395,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
400,213.0,0.10329,0.09389700000000001,0.80282,252.6,1.4069,-0.94619,0.53932
405,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
410,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
415,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
420,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
425,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
430,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
435,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
440,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
445,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
450,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
455,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
460,13.0,0.15385,0.0,0.84615,-0.4962,2.5664,-7.0572,5.4908
465,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
470,183.0,0.10382999999999999,0.092896,0.80328,214.64,1.4081,-0.9525299999999999,0.54446
