,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
10,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
15,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
20,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
25,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
30,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
35,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
40,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
45,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
50,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
55,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
60,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
65,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
70,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
75,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
80,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
85,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
90,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
95,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
100,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
105,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
110,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
115,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
120,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
125,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
130,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
135,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
140,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
145,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
150,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
155,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
160,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
165,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
170,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
175,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
180,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
185,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
190,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
195,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
200,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
205,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
210,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
215,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
220,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
225,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
230,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
235,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
240,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
245,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
250,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
255,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
260,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
265,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
270,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
275,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
280,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
285,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
290,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
295,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
300,221.0,0.094706,0.11638,0.78891,236.23,1.3964,-0.9742700000000001,0.57787
305,221.0,0.094706,0.11638,0.78891,236.23,1.3964,-0.9742700000000001,0.57787
310,221.0,0.094706,0.11638,0.78891,236.23,1.3964,-0.9742700000000001,0.57787
315,221.0,0.094706,0.11638,0.78891,236.23,1.3964,-0.9742700000000001,0.57787
320,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
325,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
330,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
335,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
340,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
345,401.0,0.097082,0.10903,0.79389,464.01,1.3981,-0.94344,0.54532
350,211.0,0.094455,0.11715999999999999,0.7883899999999999,223.57,1.3962,-0.9777299999999999,0.58153
355,211.0,0.094455,0.11715999999999999,0.7883899999999999,223.57,1.3962,-0.9777299999999999,0.58153
360,211.0,0.094455,0.11715999999999999,0.7883899999999999,223.57,1.3962,-0.9777299999999999,0.58153
365,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
370,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
375,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
380,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
385,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
390,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
395,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
400,31.0,0.062258,0.21677,0.72097,-4.2161,1.2676,-3.2729,3.0054
405,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
410,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
415,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
420,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
425,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
430,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
435,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
440,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
445,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
450,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
455,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
460,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
465,24.0,0.083333,0.0,0.9166700000000001,-1.0268,2.5021,-6.8864,5.3843
470,214.0,0.098131,0.088785,0.81308,239.42,1.416,-0.99654,0.58058
475,214.0,0.098131,0.088785,0.81308,239.42,1.416,-0.99654,0.58058
480,214.0,0.098131,0.088785,0.81308,239.42,1.416,-0.99654,0.58058
485,214.0,0.098131,0.088785,0.81308,239.42,1.416,-0.99654,0.58058
490,214.0,0.098131,0.088785,0.81308,239.42,1.416,-0.99654,0.58058
495,214.0,0.098131,0.088785,0.81308,239.42,1.416,-0.99654,0.58058
500,214.0,0.098131,0.088785,0.81308,239.42,1.416,-0.99654,0.58058
505,214.0,0.098131,0.088785,0.81308,239.42,1.416,-0.99654,0.58058
510,394.0,0.098985,0.093909,0.80711,467.2,1.4083,-0.95476,0.5465
515,394.0,0.098985,0.093909,0.80711,467.2,1.4083,-0.95476,0.5465
