,P,P_Z,P_I,P_P,Q,Q_Z,Q_I,Q_P
5,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
10,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
15,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
20,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
25,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
30,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
35,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
40,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
45,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
50,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
55,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
60,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
65,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
70,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
75,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
80,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
85,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
90,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
95,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
100,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
105,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
110,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
115,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
120,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
125,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
130,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
135,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
140,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
145,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
150,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
155,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
160,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
165,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
170,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
175,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
180,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
185,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
190,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
195,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
200,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
205,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
210,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
215,75.0,0.35733000000000004,0.552,0.090667,-1.7099,3.63,-9.88,7.25
220,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
225,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
230,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
235,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
240,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
245,255.0,0.17569,0.23294,0.59137,226.08,1.4166,-0.97683,0.5602199999999999
